"","species_full","species_strain","block","cohort","sex","specimen","leg_tibL","leg_tibW","leg_tar1L","leg_log_tibL","leg_log_tibW","leg_log_tar1L","cohort_num","thorax_length_mm","thorax_log_length_mm","wing_area_mm_sq","wing_log_area_mm_sq","condition","wing_sqroot_area_mm_sq","wing_log_sqroot_area_mm_sq"
"1","D_ananassae","AnaKopp1.1","B2","1","F","1",0.5123498375,0.0845363875,0.18411095,9.00098542280677,6.40150055777428,7.52443162331159,1,0.82815058515,9.69374931099747,0.1198019310462,6.90450735239494,"HC",0.346124155536998,8.43514581852851
"2","D_ananassae","AnaKopp1.1","B2","1","F","2",0.54091635,0.08815,0.1898949875,9.07926169552537,6.46188866443282,7.569058014144,1,0.8390247117,9.71256949259956,0.1197779518233,6.90421855764587,"HC",0.346089514177041,8.43500142115398
"3","D_ananassae","AnaKopp1.1","B2","1","F","3",0.4924064375,0.0793172625,0.1666078,8.94370581286561,6.30956298115525,7.38031213404302,1,0.8287229076,9.69474599154895,0.1215180344682,6.92502662958982,"HC",0.348594369530261,8.44540545712595
"4","D_ananassae","AnaKopp1.1","B2","1","F","4",0.515076575,0.090402125,0.1746138625,9.0086431194694,6.49828478003811,7.4480242880669,1,0.7360066707,9.52357503179369,0.0954289288593,6.57635477406617,"HC",0.308915731000058,8.27106952936413
"5","D_ananassae","AnaKopp1.1","B2","1","F","5",0.51121625,0.0802729375,0.1798432,8.99778988564846,6.32684178729873,7.49059580094808,1,0.8321568423,9.70071165838534,0.1235802476376,6.94930435929105,"HC",0.351539823686592,8.45754432197657
"6","D_ananassae","AnaKopp1.1","B2","1","F","6",0.5392044125,0.082404125,0.1931651375,9.07468849242547,6.36464465278239,7.59369092942303,1,0.8802319281,9.78173989242757,0.1335830504625,7.06159315443566,"HC",0.365490150978792,8.51368871954887
"7","D_ananassae","AnaKopp1.1","B2","1","F","7",0.4991380875,0.0738863625,0.1812261875,8.9632951848801,6.20723619986458,7.50164763217086,1,0.8081192994,9.65842447773693,0.1129866314292,6.82000827293062,"HC",0.336134841141468,8.39289627879635
"8","D_ananassae","AnaKopp1.1","B2","1","F","8",0.5067163,0.075003825,0.1800103625,8.98503442785352,6.22889226606681,7.49193614909105,1,0.81784878105,9.67569030556156,0.1174386775122,6.87576381683779,"HC",0.342693270304802,8.42077405074994
"9","D_ananassae","AnaKopp1.1","B2","1","F","9",0.495793225,0.0822917875,0.190381425,8.95359474694828,6.36267655561677,7.57274891543923,1,0.83158451985,9.69971909209859,0.125162876349,6.96766290820218,"HC",0.353783657549356,8.46672359643214
"10","D_ananassae","AnaKopp1.1","B2","1","F","10",0.51139255,0.0808185,0.1886125125,8.99828733323199,6.33661367008303,7.55928157693786,1,0.83959703415,9.71355326013914,0.1234577513664,6.94787360954256,"HC",0.351365552333179,8.45682894710232
"11","D_ananassae","AnaKopp1.1","B2","1","F","11",0.5230557625,0.08349095,0.1792772125,9.0308209488546,6.38354792004629,7.48604831209973,1,0.8207103933,9.68072941316765,0.1184850961308,6.88856178821939,"HC",0.344216641275229,8.42717303644074
"12","D_ananassae","AnaKopp1.1","B2","1","F","12",0.485976325,0.084289675,0.1839599125,8.92474222245958,6.39728401503946,7.52324760639165,1,0.8378800668,9.71059994274979,0.1195306480305,6.90123676691465,"HC",0.345732046577259,8.43351052578837
"13","D_ananassae","AnaKopp1.1","B2","1","F","13",0.493030475,0.068564575,0.169304975,8.94553301441551,6.09939147198075,7.40348055699749,1,0.80411304225,9.65125451957404,0.1141936819506,6.8353390219931,"HC",0.33792555681777,8.40056165332759
